customer_id,date,amount
C00001,2023-01-28,11.72
C00001,2025-02-22,8.0
C00002,2024-02-19,130.5
C00002,2025-12-04,91.66
C00002,2025-04-27,76.83
C00002,2024-04-18,63.25
C00002,2023-01-10,55.62
C00002,2024-12-25,46.43
C00003,2024-11-13,13.28
C00004,2023-08-31,15.45
C00004,2023-02-03,14.89
C00004,2024-07-29,17.77
C00005,2023-12-05,49.54
C00005,2023-07-30,41.0
C00006,2025-05-01,28.38
C00006,2024-02-18,22.32
C00006,2024-10-04,32.37
C00006,2025-11-19,31.71
C00006,2025-11-27,29.77
C00006,2024-10-07,46.04
C00006,2024-08-19,24.27
C00006,2024-08-29,23.36
C00006,2024-10-04,36.86
C00006,2024-09-27,18.31
C00006,2023-10-04,55.74
C00006,2024-12-17,20.01
C00007,2023-08-08,19.69
C00007,2024-09-22,45.2
C00007,2024-06-23,14.99
C00008,2025-05-07,23.1
C00008,2025-06-04,20.43
C00008,2025-02-08,22.38
C00009,2023-08-18,14.26
C00009,2025-10-18,16.13
C00009,2024-03-21,13.31
C00009,2023-07-07,11.42
C00009,2025-01-26,15.13
C00010,2024-06-22,23.62
C00010,2023-08-31,23.45
C00010,2024-07-25,23.56
C00011,2025-12-09,86.02
C00011,2023-03-11,72.06
C00011,2025-09-04,77.04
C00011,2023-12-28,114.08
C00011,2023-03-18,100.24
C00012,2024-05-22,17.54
C00012,2023-04-18,17.16
C00013,2023-11-27,19.35
C00013,2024-10-06,6.11
C00013,2025-07-16,13.32
C00014,2023-10-04,23.16
C00014,2025-01-02,40.77
C00014,2024-04-30,40.93
C00015,2023-12-19,10.08
C00015,2024-04-18,11.67
C00016,2025-09-29,20.82
C00016,2025-12-30,35.32
C00016,2024-09-02,39.01
C00016,2023-01-13,50.34
C00016,2025-05-29,54.81
C00017,2024-09-14,77.73
C00018,2023-10-22,47.17
C00018,2025-01-12,46.82
C00018,2023-10-28,59.74
C00019,2023-10-31,6.73
C00020,2023-07-23,28.6
C00020,2024-08-30,19.05
C00020,2023-01-13,21.72
C00020,2024-09-03,19.88
C00020,2023-08-04,26.91
C00020,2023-02-04,27.75
C00021,2023-02-04,62.0
C00021,2024-06-12,43.59
C00021,2024-12-24,96.67
C00021,2023-10-21,52.38
C00022,2023-06-08,14.81
C00023,2024-09-09,30.33
C00023,2023-01-02,32.9
C00023,2025-06-11,45.96
C00024,2024-08-22,38.4
C00024,2023-10-17,36.2
C00024,2025-02-17,47.82
C00024,2025-07-09,46.33
C00024,2024-07-20,39.83
C00024,2025-01-02,33.5
C00024,2025-05-25,44.88
C00024,2025-05-24,33.29
C00024,2025-11-20,42.24
C00024,2023-08-26,48.29
C00024,2023-01-16,31.15
C00025,2023-04-28,16.5
C00026,2025-03-15,42.55
C00026,2023-11-25,49.19
C00026,2024-10-09,23.18
C00027,2024-05-04,26.56
C00027,2025-09-27,23.72
C00027,2023-07-21,43.76
C00027,2024-04-27,26.38
C00028,2023-09-25,35.29
C00029,2024-04-11,49.01
C00029,2023-02-19,40.3
C00029,2024-05-23,32.05
C00029,2023-03-04,34.92
C00029,2024-10-19,36.56
C00030,2025-01-16,16.38
C00030,2024-07-20,22.25
C00030,2024-04-17,13.95
C00031,2024-10-18,42.5
C00031,2025-01-31,30.1
C00031,2023-11-07,14.53
C00031,2024-07-19,21.92
C00032,2023-12-07,26.64
C00032,2025-03-02,44.58
C00032,2024-05-30,16.95
C00032,2025-01-10,26.22
C00033,2025-12-22,18.41
C00033,2024-11-24,34.55
C00033,2024-11-16,18.22
C00034,2025-02-10,13.18
C00035,2023-03-25,32.05
C00035,2025-01-17,78.87
C00036,2025-04-15,11.54
C00036,2024-02-17,20.49
C00036,2025-08-08,16.76
C00036,2025-03-27,16.2
C00036,2024-11-10,7.26
C00036,2023-12-13,11.87
C00036,2023-05-26,23.53
C00036,2025-11-19,8.31
C00037,2024-05-11,71.63
C00037,2024-11-11,50.16
C00037,2023-06-17,83.93
C00038,2025-06-15,12.16
C00038,2024-04-16,8.04
C00038,2023-06-04,8.6
C00039,2025-12-05,12.01
C00039,2024-11-05,12.76
C00039,2023-03-12,9.35
C00039,2023-04-08,13.32
C00039,2025-08-31,10.48
C00039,2025-04-11,20.85
C00040,2025-04-11,17.08
C00040,2023-10-15,35.64
C00041,2025-12-19,137.25
C00041,2024-04-26,111.89
C00041,2023-09-06,90.65
C00041,2025-01-04,91.51
C00041,2024-04-25,162.18
C00042,2024-11-08,47.59
C00043,2025-06-05,17.55
C00043,2023-08-10,33.94
C00043,2024-09-27,34.09
C00043,2025-02-08,36.83
C00043,2025-07-11,47.03
C00043,2023-03-19,32.83
C00043,2024-08-02,39.27
C00043,2023-02-18,17.93
C00043,2024-03-14,23.42
C00043,2024-08-07,23.79
C00044,2023-12-04,68.64
C00044,2025-05-15,51.0
C00044,2025-07-07,81.65
C00044,2023-01-12,74.06
C00045,2024-09-07,80.35
C00045,2025-01-17,81.34
C00045,2023-01-29,43.73
C00045,2024-01-03,57.11
C00045,2023-05-08,78.42
C00045,2025-04-15,62.52
C00045,2024-08-21,63.49
C00045,2024-02-28,37.54
C00045,2024-09-15,48.87
C00045,2025-02-13,27.65
C00045,2023-08-05,46.24
C00046,2024-09-02,78.2
C00046,2024-10-11,33.98
C00047,2023-08-11,28.55
C00047,2024-11-27,11.84
C00048,2024-05-08,13.11
C00048,2024-10-24,5.89
C00049,2024-05-25,46.62
C00050,2025-08-27,21.83
C00050,2025-02-13,19.03
C00050,2023-10-09,46.32
C00050,2024-04-06,33.69
C00050,2025-10-20,20.11
C00050,2025-05-03,25.35
C00050,2025-06-10,82.02
C00051,2024-02-29,20.83
C00052,2025-02-09,10.13
C00052,2024-07-09,12.06
C00052,2024-01-25,14.71
C00052,2024-09-11,9.99
C00053,2024-04-30,21.29
C00053,2024-04-13,34.04
C00053,2023-07-11,33.19
C00054,2024-05-14,20.63
C00054,2025-07-03,19.98
C00055,2023-07-25,29.87
C00055,2023-12-30,40.01
C00055,2023-08-28,84.95
C00056,2024-12-10,32.2
C00056,2025-08-23,16.38
C00056,2023-10-10,12.67
C00057,2024-10-20,45.02
C00057,2024-07-12,169.6
C00057,2025-09-02,94.9
C00057,2024-03-23,129.26
C00057,2024-12-04,100.93
C00058,2024-04-11,32.68
C00059,2023-10-17,25.11
C00060,2024-07-05,23.53
C00060,2023-02-27,26.27
C00061,2025-06-05,70.23
C00061,2024-03-07,32.44
C00061,2024-01-28,40.87
C00061,2024-02-20,25.01
C00061,2025-12-08,70.58
C00061,2023-08-01,47.79
C00061,2023-03-17,34.96
C00061,2023-12-30,22.1
C00061,2023-10-12,47.91
C00061,2024-11-03,21.05
C00061,2023-05-11,52.34
C00061,2024-01-18,27.61
C00062,2023-03-21,56.29
C00062,2023-12-01,67.98
C00062,2023-01-19,40.22
C00063,2024-04-07,21.34
C00063,2025-02-10,49.1
C00063,2025-04-17,31.02
C00063,2023-08-10,63.59
C00063,2024-11-13,38.03
C00064,2024-10-19,10.59
C00064,2025-07-06,11.37
C00064,2023-03-19,7.94
C00064,2024-11-26,4.99
C00064,2023-09-02,11.68
C00065,2025-08-12,8.83
C00065,2025-09-14,5.38
C00065,2025-03-18,6.77
C00065,2024-01-14,5.18
C00066,2024-07-11,26.19
C00066,2023-07-28,24.07
C00066,2023-10-24,48.15
C00066,2025-08-18,29.14
C00067,2025-11-21,35.01
C00068,2025-10-03,21.31
